Trip_Type,Date,Day_of_week,Time,Duration_Seconds,Distance_Miles,Pickup_Location,Dropoff_Location,Points,Tip,Pickup_Waittime_Seconds,Surge,Rider_Rating
Electric,2/4/2026,Wednesday,7:26 PM,327,0.84,"232nd St, Cambria Heights, NY, US","Dutch Broadway, Elmont, NY, US",5,3.00,31,0.00,
UberX,2/4/2026,Wednesday,6:36 PM,2350,9.98,"Linden Blvd, Brooklyn, NY, US","114th Ave, Cambria Heights, NY, US",5,0.00,0,0.00,
UberX,2/4/2026,Wednesday,5:33 PM,892,1.08,"168th St, Jamaica, NY, US","Guy R Brewer Blvd, Jamaica, NY, US",5,0.00,0,1.25,
Electric,2/4/2026,Wednesday,4:26 PM,2397,9.32,"Wortman Ave, Brooklyn, NY, US","Wexford Ter, New York, NY, US",5,0.00,0,0.00,
UberX,2/4/2026,Wednesday,3:54 PM,1293,3.00,"Bristol St, Brooklyn, NY, US","Linden Blvd, Brooklyn, NY, US",5,0.00,0,2.25,
UberX,2/4/2026,Wednesday,3:35 PM,579,0.97,"Eastern Pkwy, Brooklyn, NY, US","Pitkin Ave, Brooklyn, NY, US",5,0.00,0,3.50,
UberX,2/4/2026,Wednesday,2:57 PM,976,1.59,"Sackman St, Brooklyn, NY, US","E 93rd St, Brooklyn, NY, US",5,0.00,40,0.00,
UberX,2/4/2026,Wednesday,2:25 PM,809,1.40,"Schroeders Ave, Brooklyn, NY, US","Ashford St and Livonia Ave, Brooklyn, NY, US",0,0.00,22,0.00,
UberX,2/4/2026,Wednesday,1:48 PM,1957,5.91,"Vandalia Ave, Brooklyn, NY, US","Vandalia Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/4/2026,Wednesday,1:33 PM,537,1.83,"Lincoln Ave, Brooklyn, NY, US","Gateway Dr, Brooklyn, NY, US",0,0.00,23,0.00,
UberX,2/5/2026,Thursday,7:35 PM,600,1.75,"69th Pl, Maspeth, NY, US","64th St, Woodside, NY, US",5,0.00,0,0.00,
Comfort,2/5/2026,Thursday,7:24 PM,424,1.18,"51st Ave, Elmhurst, NY, US","67th St, Maspeth, NY, US",5,0.00,0,0.00,
UberX,2/5/2026,Thursday,6:56 PM,865,2.42,"28th St, Long Island City, NY, US","59th St, Woodside, NY, US",5,0.00,0,0.00,
Comfort,2/5/2026,Thursday,6:41 PM,588,0.91,"31st Ave, Astoria, NY, US","Broadway and 31 St, Long Island City, NY, US",5,0.00,104,0.00,
UberX,2/5/2026,Thursday,6:13 PM,935,1.80,"42nd Rd, Long Island City, NY, US","31st Ave, Astoria, NY, US",5,0.00,0,0.00,
UberX,2/5/2026,Thursday,5:34 PM,2775,5.57,"Greene Ave, Brooklyn, NY, US","Queens St, Long Island City, NY, US",5,0.00,0,1.52,
UberX,2/5/2026,Thursday,4:32 PM,1880,2.09,"Fulton St, Brooklyn, NY, US","Lincoln Pl, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/5/2026,Thursday,4:13 PM,2105,2.17,"6th Ave, Brooklyn, NY, US","Fulton St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/5/2026,Thursday,3:38 PM,1011,2.09,"Flatbush Ave, Brooklyn, NY, US","6th Ave, Brooklyn, NY, US",5,0.00,392,0.00,
UberX,2/5/2026,Thursday,3:30 PM,813,0.97,"New York Ave, Brooklyn, NY, US","Flatbush Ave, Brooklyn, NY, US",5,0.00,20,0.00,
UberX,2/5/2026,Thursday,2:54 PM,1811,5.07,"Fountain Ave, Brooklyn, NY, US","Foster Ave, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/6/2026,Friday,2:45 PM,4020,12.78,"151st Ave, Howard Beach, NY, US","Broadway, New York, NY, US",5,0.00,0,0.00,
UberX,2/6/2026,Friday,2:22 PM,504,1.19,"Pine St, Brooklyn, NY, US","Sapphire St, Brooklyn, NY, US",5,0.00,71,0.00,
Electric,2/6/2026,Friday,11:14 AM,578,0.75,"Lexington Ave, Brooklyn, NY, US","Myrtle Ave and Broadway, Brooklyn, NY, US",0,0.00,0,0.00,
Electric,2/6/2026,Friday,10:44 AM,918,2.19,"Roebling St, Brooklyn, NY, US","Willoughby Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/6/2026,Friday,10:32 AM,403,0.82,"S 5th St, Brooklyn, NY, US","N 7th St, Brooklyn, NY, US",0,3.00,9,0.00,
UberX,2/6/2026,Friday,10:21 AM,541,0.94,"S 3rd St, Brooklyn, NY, US","S 4th St, Brooklyn, NY, US",0,0.00,0,0.00,
Business Comfort,2/6/2026,Friday,9:06 AM,524,1.36,"Cooper Sq, New York City, NY, US","west 18th street, New York, NY, US",5,3.51,0,0.00,
UberX,2/6/2026,Friday,7:39 AM,3780,14.73,"Albany Ave, Brooklyn, NY, US","Baxter St, New York, NY, US",5,0.00,379,2.25,
UberX,2/6/2026,Friday,7:26 AM,783,1.84,"Flatlands Ave, Brooklyn, NY, US","E 45th St, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/6/2026,Friday,7:07 AM,592,1.59,"Vandalia Ave, Brooklyn, NY, US","Flatlands Ave, Brooklyn, NY, US",0,0.00,0,0.00,
Comfort,2/6/2026,Friday,6:44 AM,318,0.90,"Logan St, Brooklyn, NY, US","Pitkin Ave and Euclid Ave, Brooklyn, NY, US",0,0.00,0,2.25,
UberX Priority,2/6/2026,Friday,6:40 AM,340,0.74,"Lincoln Ave, Brooklyn, NY, US","Pitkin Ave and Euclid Ave, Brooklyn, NY, US",0,0.00,0,0.00,
UberX,2/7/2026,Saturday,7:26 PM,927,2.40,"Broadway, New York, NY, US","1st Ave, New York City, NY, US",5,2.39,0,0.00,
Electric,2/7/2026,Saturday,6:55 PM,1429,3.10,"Park Ave S, New York, NY, US","Lincoln Center Plz, New York City, NY, US",5,8.52,0,1.75,
UberX,2/7/2026,Saturday,6:39 PM,991,1.96,"6th Ave, New York City, NY, US","E 20th St, New York City, NY, US",5,6.79,0,0.03,
Electric,2/7/2026,Saturday,6:15 PM,975,1.30,"Washington Sq W, New York, NY, US","6th Ave, New York City, NY, US",5,0.00,0,0.00,
UberX,2/7/2026,Saturday,6:04 PM,416,0.48,"W 12th St, New York, NY, US","Waverly Pl, New York, NY, US",5,0.00,0,2.00,
UberX,2/7/2026,Saturday,5:45 PM,1120,1.70,"E 29th St, New York, NY, US","Hudson St, New York City, NY, US",5,0.00,3,1.00,
UberX VIP,2/7/2026,Saturday,5:14 PM,1758,5.35,"William St, New York, NY, US","E 29th St, New York, NY, US",5,0.00,0,1.69,
UberX,2/7/2026,Saturday,4:25 PM,2776,28.65,"Terminal 8 John F. Kennedy International Airport (JFK), Jamaica, NY, US","William St, New York, NY, US",5,0.00,0,0.00,
Comfort,2/7/2026,Saturday,3:57 PM,1486,7.96,"Juno St, Forest Hills, NY, US","Terminal 8, John F. Kennedy International Airport (JFK), New York, NY, US",5,0.00,0,0.00,
UberX,2/7/2026,Saturday,3:48 PM,323,0.99,"108th St, Forest Hills, NY, US","Burns St, Forest Hills, NY, US",5,0.00,0,0.00,
Electric,2/7/2026,Saturday,3:13 PM,1443,5.77,"Snediker Ave, Brooklyn, NY, US","71st Ave, Forest Hills, NY, US",5,0.00,47,0.00,
UberX,2/7/2026,Saturday,3:04 PM,307,0.88,"Pitkin Ave, Brooklyn, NY, US","Grafton St, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/8/2026,Sunday,7:00 PM,930,2.03,"Himrod St, Brooklyn, NY, US","Grand St, Brooklyn, NY, US",5,0.00,58,0.00,
UberX,2/8/2026,Sunday,4:12 PM,3051,19.81,"E 108th St, Brooklyn, NY, US","E 158th St, Bronx, NY, US",5,0.00,244,0.00,
UberX,2/8/2026,Sunday,3:59 PM,410,1.40,"Rockaway Pkwy, Brooklyn, NY, US","Glenwood Rd, Brooklyn, NY, US",5,0.00,13,0.00,
UberX,2/8/2026,Sunday,3:41 PM,310,0.91,"Howard Ave, Brooklyn, NY, US","Rockaway Pkwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/8/2026,Sunday,3:34 PM,861,2.31,"Sterling St, Brooklyn, NY, US","Eastern Pkwy, Brooklyn, NY, US",5,0.00,0,0.00,
UberX,2/8/2026,Sunday,3:27 PM,478,1.55,"Bergen St, Brooklyn, NY, US","Washington Ave, Brooklyn, NY, US",5,0.00,0,0.00,
