trip_type,trip_date,trip_time,duration_sec,distance_miles,pickup_location,dropoff_location,points,tip_amount,pickup_wait_min,surge_amount
UberX,2026-04-04,10:51 PM,1887,12.69,"W 49Th St, New York, Ny, Us","94Th St, Brooklyn, Ny, Us",5,0,0,1.75
UberX,2026-04-04,10:35 PM,404,0.92,"W 58Th St, New York City, Ny, Us","W End Ave, New York City, Ny, Us",5,0,0,0
UberX,2026-04-04,10:03 PM,1102,1.37,"W 32Nd St, Manhattan, Ny, Us","W 43Rd St, New York, Ny, Us",5,0,0,0
UberX,2026-04-04,9:40 PM,1536,2.72,"W 67Th St, New York, Ny, Us","W 32Nd St, New York City, Ny, Us",5,0,0,0
UberX,2026-04-04,9:10 PM,1642,5.75,"5Th Ave, New York, Ny, Us","W 69Th St, New York, Ny, Us",5,0,0,0
UberX,2026-04-04,8:26 PM,383,0.91,"Hudson St, New York City, Ny, Us","9Th Ave, New York City, Ny, Us",5,0,0,0
UberX,2026-04-04,8:08 PM,1027,1.52,"1St Ave, New York, Ny, Us","Hudson St, New York City, Ny, Us",5,0,0,0
UberX,2026-04-04,7:51 PM,680,2.24,"Bedford Ave, New York, Ny, Us","E 1St St, New York, Ny, Us",5,4,0,0
Electric,2026-04-04,7:28 PM,887,2.27,"Lexington Ave, Brooklyn, Ny, Us","Marcy Ave, Brooklyn, Ny, Us",5,5,0,0
Electric,2026-04-04,7:20 PM,446,0.99,"Nostrand Ave, Brooklyn, Ny, Us","Madison St, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,6:57 PM,563,1.44,"Sullivan Pl, Brooklyn, Ny, Us","Atlantic Ave, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,6:50 PM,675,1.68,"Washington Ave, Brooklyn, Ny, Us","Montgomery St, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,6:28 PM,535,1.43,"Myrtle Ave, Brooklyn, Ny, Us","Myrtle Ave, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,5:11 PM,1426,2.86,"Putnam Ave, Brooklyn, Ny, Us","Dekalb Ave, Brooklyn, Ny, Us",5,0,0,0
Comfort,2026-04-04,4:53 PM,311,1.2,"Cornelia St, Brooklyn, Ny, Us","Decatur St, Ridgewood, Ny, Us",5,0,0,0
UberX,2026-04-04,4:42 PM,567,1.58,"Jefferson Ave, Brooklyn, Ny, Us","Macon St, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,4:26 PM,547,1.51,"Malcolm X Blvd, Brooklyn, Ny, Us","Tompkins Ave, Brooklyn, Ny, Us",5,3,0,0
Electric,2026-04-04,4:04 PM,1063,2.19,"E New York Ave, Brooklyn, Ny, Us","Patchen Ave, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,3:37 PM,1329,3.86,"Vandalia Ave, Brooklyn, Ny, Us","Empire Blvd, Brooklyn, Ny, Us",5,2.33,2.44,0
UberX,2026-04-04,3:17 PM,822,2.34,"Kings Hwy, Brooklyn, Ny, Us","Flatlands Ave, Brooklyn, Ny, Us",5,0,0.39,0
UberX,2026-04-04,3:08 PM,295,0.65,"Rutland Rd, Brooklyn, Ny, Us","Kings Hwy, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,3:05 PM,175,0.58,"Newport St, Brooklyn, Ny, Us","Howard Ave, Brooklyn, Ny, Us",5,0,0,0
UberX,2026-04-04,2:50 PM,746,2.25,"Thomas S Boyland St, Brooklyn, Ny, Us","Thomas S Boyland St, Brooklyn, Ny, Us",5,0,0,0
